State,Population
Alabama,1262505
Arkansas,802525
California,864694
Colorado,194327
Connecticut,622700
Delaware,146608
Florida,269493
Georgia,1542180
Illinois,3077871
Indiana,1978301
Iowa,1624615
Kansas,996096
Kentucky,1648690
Louisiana,939946
Maine,648936
Maryland,934943
Massachusetts,1783085
Michigan,1636937
Minnesota,780773
Mississippi,1131597
Missouri,2168380
Nebraska,452402
Nevada,62266
New Hampshire,346991
New Jersey,1131116
New York,5082871
North Carolina,1399750
Ohio,3198062
Oregon,174768
Pennsylvannia,4282891
Rhode Island,276531
South Carolina,995577
Tennessee,1542359
Texas,1591749
Vermont,332286
Virginia,1512565
West Virginia,618457
Wisconsin,1315497
